CLIENTE;IDENTIFICACION;DOCUMENTO;PAIS;CANAL;FORMA DE PAGO;PRODUCTO;VENDEDOR;FECHA;VENTAS;CANTIDAD;DESCUENTO_PORCENTAJE;PRECIO_UNITARIO
Grupo Éxito;809765231.0;FV 135333;Peru;Punto de Venta;Efectivo;Guayos Nike Cr-97;Hernando Portilla;2018-03-16;12556;4;0.0;3139
Super Selectos;901457120.0;FV 107077;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-99;Viviana Cano;2009-08-10;6293;1;0.0;6293
;899453679.0;FV 51176;Ecuador;Punto de Venta;Efectivo;GPS glaciar;Patricia Angarita;2021-04-18;106150;10;0.0;10615
Walmart;890342123.0;FV 44919;Panama;Redes Sociales;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Patricia Angarita;2024-09-25;61250;10;0.0;6125
Bodega Aurrerá;890457811.0;FV 42133;Honduras;Punto de Venta;Efectivo;Mochila Canyon Mula Weekender;Bernardo Cifuentes;2024-06-03;137700;8;0.0;17212
Gessa;901324700.0;FV 60720;Panama;Redes Sociales;Cheque;Guantes de Arquero Nike;Viviana Cano;2022-05-18;16200;6;0.0;2700
Soriana;901345679.0;FV 56306;Honduras;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Lidia Bueno;2021-12-12;40000;10;8.5;4000
Hipermaxi;899453679.0;FV 68808;Nicaragua;Redes Sociales;Transferencia Electronica;Pantaloneta;Lidia Bueno;2023-05-09;30200;6;0.0;5033
Gessa;901324700.0;FV 122033;Peru;Telefono;Cheque;Guayos Nike Cr-64;Bernardo Cifuentes;2015-04-05;105479;10;16.0;10548
Super Selectos;901457120.0;FV 59569;Colombia;Redes Sociales;Cheque;Guantes de Arquero Nike;Viviana Cano;2022-04-07;20900;6;0.0;3483
Walmart;890342123.0;FV 129853;Colombia;Telefono;Efectivo;Guayos Nike Cr-93;Guillermo Benavides;2017-02-14;210789;15;0.0;14053
Ara;;FV 116372;Peru;Telefono;Tarjeta de Credito;Canyon Mule Carryall;Hernando Portilla;2013-06-13;62591;5;0.0;12518
Walmart;;FV 60009;Mexico;Redes Sociales;Transferencia Electronica;Pantaloneta;Viviana Cano;2022-04-22;32850;6;0.0;5475
Ara;901001382.0;FV 102303;Ecuador ;Punto de Venta;Cheque;Guayos Nike Cr-120;Viviana Cano;2006-10-14;96826;9;0.0;10758
Bodega Aurrerá;890457811.0;FV 141611;Nicaragua;Telefono;Transferencia Electronica;Guayos Nike Cr-86;Hernando Portilla;2019-06-29;21072;5;0.0;4214
La Anónima;897564399.0;FV 110475;Ecuador;Punto de Venta;Efectivo;Juego TrailChef Deluxe Cook;Hernando Portilla;2011-04-24;11876;2;0.0;5938
Carrefour;900348761.0;FV 121852;Peru;Punto de Venta;Cheque;Guayos Nike Cr-24;Viviana Cano;2015-03-16;164264;13;6.5;12636
Super 99;899087237.0;FV 58446;Nicaragua;Redes Sociales;Transferencia Electronica;Termo de Bicicleta;Lidia Bueno;2022-02-27;55000;6;0.0;9167
Makro;902765200.0;FV 122663;Colombia;Punto de Venta;Cheque;Guayos Nike Cr-108;Bernardo Cifuentes;2015-06-17;27948;4;0.0;6987
Unimarc;900434592.0;FV 41948;Panama;Punto de Venta;Efectivo;Set de Madera Lady Hailstorm Titanium;Patricia Angarita;2024-06-03;248750;4;0.0;62188
Soriana;901345679.0;FV 108843;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-23;Hernando Portilla;2010-06-30;39856;3;0.0;13285
Supermercados Peruanos;896789012.0;FV 139640;Peru;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-74;Hernando Portilla;2019-02-03;106488;9;0.0;11832
Bodega Aurrerá;890457811.0;FV 131252;Peru;Punto de Venta;Efectivo;Guayos Nike Cr-14;Lidia Bueno;2017-05-23;17353;2;7.7;8676
Supermercados Peruanos;896789012.0;FV 106145;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-72;Viviana Cano;2009-02-23;10013;2;8.9;5006
Walmart;890342123.0;FV 58498;Peru;Redes Sociales;Transferencia Electronica;Sudadera Puma;Lidia Bueno;2022-03-01;55000;6;0.0;9167
Hipermaxi;899453679.0;FV 127649;Honduras;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-73;Viviana Cano;2016-09-04;4478;1;0.0;4478
Unimarc;900434592.0;FV 106620;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-117;Hernando Portilla;2009-05-22;4075;1;0.0;4075
Hipermaxi;899453679.0;FV 48355;Mexico;Redes Sociales;Tarjeta de Credito;Alivio de mordedura de insectos;Viviana Cano;2021-02-05;55000;8;11.4;6875
Cencosud;901776453.0;FV 106724;Ecuador;Punto de Venta;Efectivo;Mirador Star;Viviana Cano;2009-06-09;15739;2;0.0;7870
Super 99;899087237.0;FV 120273;Ecuador;Punto de Venta;Transferencia Electronica;Palo Course Pro;Hernando Portilla;2014-09-11;74435;13;0.0;5726
Grupo Éxito;809765231.0;FV 110592;Ecuador;Punto de Venta;Cheque;BugShield Spray;Viviana Cano;2011-05-15;78185;10;0.0;7818
Walmart;890342123.0;FV 66510;Honduras;Redes Sociales;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Viviana Cano;2023-02-24;55000;10;0.0;5500
Ara;901001382.0;FV 145328;Nicaragua;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-122;Hernando Portilla;2020-04-04;75773;11;0.0;6888
Super 99;899087237.0;FV 137062;Guatemala;Telefono;Transferencia Electronica;Guayos Nike Cr-71;Hernando Portilla;2018-07-24;9192;1;0.0;9192
Super Selectos;901457120.0;FV 130376;Panama;Telefono;Transferencia Electronica;Guayos Nike Cr-30;Lidia Bueno;2017-03-24;68958;5;6.4;13792
Automercados Plaza's;891009100.0;FV 140736;Nicaragua;Punto de Venta;Efectivo;Casco de escalada de granito;Hernando Portilla;2019-04-26;5943;1;0.0;5943
Unimarc;900434592.0;FV 118780;Colombia;Punto de Venta;Efectivo;Camiseta Deportiva;Hernando Portilla;2014-03-20;127922;15;0.0;8528
Bodega Aurrerá;890457811.0;FV 144342;Mexico;Telefono;Transferencia Electronica;Guayos Nike Cr-18;Lidia Bueno;2020-01-18;116097;14;9.0;8293
Bodega Aurrerá;890457811.0;FV 104881;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-71;Viviana Cano;2008-07-09;134136;15;0.0;8942
Ara;901001382.0;FV 114708;Ecuador;Telefono;Transferencia Electronica;Arnés Extremo Husky;Bernardo Cifuentes;2012-11-29;54864;5;0.0;10973
Gessa;901324700.0;FV 115496;Colombia;Punto de Venta;Cheque;Guayos Nike Cr-43;Hernando Portilla;2013-03-02;123271;13;0.0;9482
Makro;902765200.0;FV 146051;Mexico;Telefono;Cheque;Guayos Nike Cr-24;Guillermo Benavides;2020-05-24;9591;1;0.0;9591
Carrefour;900348761.0;FV 115209;Colombia;Telefono;Cheque;Guayos Nike Cr-8;Viviana Cano;2013-01-27;55155;5;0.0;11031
Jumbo;901345871.0;FV 119331;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-55;Bernardo Cifuentes;2014-05-22;78048;9;0.0;8672
Hipermaxi;899453679.0;FV 139816;Panama;Punto de Venta;Efectivo;Guayos Nike Cr-77;Bernardo Cifuentes;2019-02-16;41573;12;0.0;3464
Bodega Aurrerá;890457811.0;FV 112645;Colombia;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-20;Bernardo Cifuentes;2012-03-30;9286;3;5.2;3095
Hipermaxi;899453679.0;FV 43567;Peru;Punto de Venta;Efectivo;Mochila Canyon Mula Weekender;Patricia Angarita;2024-08-15;104650;10;0.0;10465
Walmart;890342123.0;FV 51608;Colombia;Redes Sociales;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Lidia Bueno;2021-04-29;55000;10;8.9;5500
Super Selectos;901457120.0;FV 112625;Ecuador;Punto de Venta;Tarjeta de Credito;Mountain Man Extreme;Bernardo Cifuentes;2012-03-27;52305;4;0.0;13076
Walmart;890342123.0;FV 103358;Ecuador;Punto de Venta;Efectivo;Balon de Microfutbol Golty;Viviana Cano;2007-08-09;15939;3;0.0;5313
Gessa;901324700.0;FV 66374;Ecuador;Redes Sociales;Cheque;Mountain Man Extreme;Hernando Portilla;2023-02-19;11750;2;13.0;5875
Walmart;890342123.0;FV 62362;Ecuador;Redes Sociales;Transferencia Electronica;Mountain Man Extreme;Lidia Bueno;2022-07-22;47750;8;0.0;5969
Makro;902765200.0;FV 115960;Colombia;Telefono;Cheque;Kit de alivio compacto;Bernardo Cifuentes;2013-04-28;91793;13;0.0;7061
Unimarc;900434592.0;FV 112294;Colombia;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-22;Bernardo Cifuentes;2012-02-18;88749;7;0.0;12678
Tiendas San Francisco;897345600.0;FV 141549;Peru;Telefono;Cheque;Guayos Nike Cr-91;Viviana Cano;2019-06-25;171940;15;6.4;11463
Automercados Plaza's;891009100.0;FV 130263;Panama;Telefono;Transferencia Electronica;Mochila Canyon Mula Weekender;Guillermo Benavides;2017-03-16;70170;12;6.9;5848
Ara;901001382.0;FV 130288;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-119;Lidia Bueno;2017-03-17;52071;4;8.5;13018
Ara;901001382.0;FV 117165;Ecuador;Telefono;Cheque;Guayos Nike Cr-27;Hernando Portilla;2013-09-17;19882;7;0.0;2840
Hipermaxi;899453679.0;FV 108665;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-97;Hernando Portilla;2010-05-30;9592;4;0.0;2398
Automercados Plaza's;891009100.0;FV 135384;Guatemala;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-84;Hernando Portilla;2018-03-20;58211;5;0.0;11642
Ara;901001382.0;FV 144469;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-42;Bernardo Cifuentes;2020-01-26;41389;9;0.0;4599
Cencosud;901776453.0;FV 104505;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-112;Viviana Cano;2008-04-30;86433;12;0.0;7203
La Anónima;897564399.0;FV 65743;Panama;Redes Sociales;Cheque;Lámpara EverGlow;Lidia Bueno;2023-01-22;11200;8;0.0;1400
Jumbo;901345871.0;FV 116908;Colombia;Punto de Venta;Efectivo;Guayos Nike Cr-25;Viviana Cano;2013-08-16;4736;1;0.0;4736
Automercados Plaza's;891009100.0;FV 125718;Guatemala;Telefono;Transferencia Electronica;Guayos Nike Cr-32;Guillermo Benavides;2016-04-15;51872;7;0.0;7410
La Anónima;897564399.0;FV 119171;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-22;Bernardo Cifuentes;2014-05-02;170612;15;0.0;11374
Soriana;901345679.0;FV 48524;Panama;APP;Transferencia Electronica;Termo de Bicicleta;Lidia Bueno;2021-02-09;55000;2;5.7;27500
Automercados Plaza's;891009100.0;FV 101759;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-116;Viviana Cano;2006-05-14;92839;15;17.3;6189
Tiendas Olímpica;901765437.0;FV 105493;Ecuador ;Punto de Venta;Efectivo;Guayos Nike Cr-57;Hernando Portilla;2008-11-02;49668;6;5.6;8278
La Anónima;897564399.0;FV 100669;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-71;Viviana Cano;2005-07-09;152750;13;0.0;11750
Automercados Plaza's;891009100.0;FV 68529;Peru;Redes Sociales;Tarjeta de Credito;Alivio de mordedura de insectos;Patricia Angarita;2023-05-02;75000;6;0.0;12500
;901345871.0;FV 68463;Peru;Redes Sociales;Cheque;Lámpara EverGlow;Viviana Cano;2023-05-01;15900;10;0.0;1590
Makro;902765200.0;FV 141840;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-44;Hernando Portilla;2019-07-17;93835;8;0.0;11729
Hipermaxi;899453679.0;FV 45257;Nicaragua;Redes Sociales;Tarjeta de Credito;Termo de Bicicleta;Bernardo Cifuentes;2024-10-10;56050;8;5.7;7006
Walmart;890342123.0;FV 42729;Ecuador;Redes Sociales;Tarjeta de Credito;Set de Madera Lady Hailstorm Titanium;Lidia Bueno;2024-06-04;72200;8;17.6;9025
Walmart;890342123.0;FV 53886;Panama;Redes Sociales;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Patricia Angarita;2021-06-22;71850;6;0.0;11975
Supermercados Peruanos;896789012.0;FV 67750;Peru;Redes Sociales;Transferencia Electronica;Sudadera Puma;Patricia Angarita;2023-04-12;55000;2;0.0;27500
Hipermaxi;899453679.0;FV 58515;Honduras;Redes Sociales;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Hernando Portilla;2022-03-02;55000;13;19.6;4231
Grupo Éxito;809765231.0;FV 119890;Colombia;Punto de Venta;Efectivo;Guayos Nike Cr-36;Bernardo Cifuentes;2014-07-26;47061;6;8.6;7844
Gessa;901324700.0;FV 55429;Guatemala;Redes Sociales;Cheque;Mountain Man Extreme;Viviana Cano;2021-11-13;18400;10;5.3;1840
Makro;902765200.0;FV 110512;Ecuador;Punto de Venta;Tarjeta de Credito;Lámpara de escalada Firefly;Hernando Portilla;2011-05-01;32210;3;0.0;10737
Hipermaxi;899453679.0;FV 123082;Colombia;Telefono;Cheque;Arnés Extremo Husky;Hernando Portilla;2015-08-02;82084;6;0.0;13681
Super Selectos;901457120.0;FV 133441;Nicaragua;Telefono;Efectivo;Guayos Nike Cr-15;Viviana Cano;2017-10-27;75279;7;0.0;10754
Walmart;890342123.0;FV 54680;Nicaragua;Redes Sociales;Tarjeta de Credito;Loción BugShield;Patricia Angarita;2021-10-18;55000;8;0.0;6875
Carrefour;900348761.0;FV 116924;Colombia;Punto de Venta;Efectivo;Guayos Nike Cr-97;Bernardo Cifuentes;2013-08-18;56669;7;9.5;8096
Cencosud;901776453.0;FV 140855;Nicaragua;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-81;Hernando Portilla;2019-05-03;25207;2;0.0;12604
Walmart;890342123.0;FV 46054;Ecuador;Punto de Venta;Efectivo;Mochila Canyon Mula Weekender;Guillermo Benavides;2024-11-01;256600;4;0.0;64150
Walmart;890342123.0;FV 67534;Nicaragua;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Lidia Bueno;2023-04-06;22600;6;0.0;3767
Hipermaxi;899453679.0;FV 58589;Peru;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Bernardo Cifuentes;2022-03-04;?;6;0.0;5242
Carrefour;900348761.0;FV 54013;Colombia;Redes Sociales;Transferencia Electronica;Maletin Adidas;Viviana Cano;2021-06-25;55000;6;0.0;9167
La Anónima;897564399.0;FV 143204;Honduras;Telefono;Transferencia Electronica;Guayos Nike Cr-76;Lidia Bueno;2019-10-28;158919;11;15.4;14447
Ara;901001382.0;FV 117734;Colombia;Punto de Venta;Cheque;Guayos Nike Cr-109;Viviana Cano;2013-11-15;47416;14;0.0;3387
Automercados Plaza's;891009100.0;FV 103704;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-57;Viviana Cano;2007-11-18;50263;6;0.0;8377
Makro;;FV 106534;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-22;Hernando Portilla;2009-05-03;51738;7;8.9;7391
Carrefour;900348761.0;FV 56524;Guatemala;Redes Sociales;Transferencia Electronica;Balon de Microfutbol Golty;Viviana Cano;2021-12-20;55000;6;0.0;9167
Gessa;901324700.0;FV 133028;Peru;Telefono;Transferencia Electronica;Balon de Microfutbol Golty;Hernando Portilla;2017-09-27;43933;11;0.0;3994
Supermercados Peruanos;896789012.0;FV 55131;Peru;Redes Sociales;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Patricia Angarita;2021-11-02;55000;13;5.4;4231
Super Selectos;901457120.0;FV 148212;Guatemala;Punto de Venta;Efectivo;Guayos Nike Cr-42;Lidia Bueno;2020-10-25;11491;1;16.2;11491
Soriana;901345679.0;FV 106112;Ecuador;Punto de Venta;Efectivo;Arnés Extremo Husky;Hernando Portilla;2009-02-16;159719;12;0.0;13310
Walmart;890342123.0;FV 107419;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-27;Hernando Portilla;2009-10-13;71547;9;0.0;7950
Grupo Éxito;809765231.0;FV 42481;Ecuador;APP;Efectivo;Juego TrailChef Deluxe Cook;Bernardo Cifuentes;2024-06-04;76800;2;5.6;38400
Supermercados Peruanos;896789012.0;FV 131373;Honduras;Telefono;Cheque;Guayos Nike Cr-8;Lidia Bueno;2017-06-01;113612;8;0.0;14202
La Anónima;897564399.0;FV 59167;Peru;Redes Sociales;Tarjeta de Credito;Alivio de mordedura de insectos;Patricia Angarita;2022-03-24;55000;10;0.0;5500
Cencosud;901776453.0;FV 64926;Colombia;Redes Sociales;Cheque;Guantes de Arquero Nike;Viviana Cano;2022-12-09;12600;6;0.0;2100
Bodega Aurrerá;890457811.0;FV 43889;Honduras;Punto de Venta;Efectivo;Juego TrailChef Deluxe Cook;Hernando Portilla;2024-07-09;75450;6;14.6;12575
Ara;901001382.0;FV 127079;Guatemala;Telefono;Cheque;Guayos Nike Cr-121;Hernando Portilla;2016-07-24;68997;10;0.0;6900
Super 99;;FV 136996;Peru;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-27;Lidia Bueno;2018-07-20;19144;2;0.0;9572
Tiendas Olímpica;901765437.0;FV 47719;Panama;Redes Sociales;Cheque;Lámpara EverGlow;Guillermo Benavides;2021-01-19;12050;10;0.0;1205
Gessa;901324700.0;FV 112799;Colombia;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-83;Viviana Cano;2012-04-15;137888;12;0.0;11491
Unimarc;900434592.0;FV 116776;Peru;Telefono;Efectivo;Guayos Nike Cr-54;Bernardo Cifuentes;2013-07-28;76680;8;13.7;9585
Supermercados Peruanos;896789012.0;FV 142934;Colombia;Telefono;Transferencia Electronica;Guayos Nike Cr-48;Hernando Portilla;2019-10-07;63140;6;0.0;10523
Hipermaxi;899453679.0;FV 59386;Ecuador;Redes Sociales;Tarjeta de Credito;Termo de Bicicleta;Patricia Angarita;2022-03-31;1978625.2132098593;10;0.0;6900
Makro;902765200.0;FV 121818;Peru;Telefono;Efectivo;Guayos Nike Cr-56;Viviana Cano;2015-03-10;19186;3;0.0;6395
Tiendas Olímpica;901765437.0;FV 47684;Panama;Redes Sociales;Tarjeta de Credito;Termo de Bicicleta;Patricia Angarita;2021-01-18;69700;13;5.8;5362
Tiendas Olímpica;901765437.0;FV 49719;Ecuador;Teléfono;Transferencia Electronica;Termo de Bicicleta;Bernardo Cifuentes;2021-03-11;55000;2;0.0;27500
Ara;901001382.0;FV 117734;Colombia;Punto de Venta;Cheque;Guayos Nike Cr-109;Viviana Cano;2013-11-15;47416;14;0.0;3387
Supermercados Peruanos;896789012.0;FV 64771;Nicaragua;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Lidia Bueno;2022-11-29;22500;8;0.0;2812
Jumbo;901345871.0;FV 148097;Colombia;Punto de Venta;Tarjeta de Credito;Sudadera Puma;Hernando Portilla;2020-10-16;55797;8;9.9;6975
Super Selectos;901457120.0;FV 101722;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-102;Viviana Cano;2006-05-05;43562;11;0.0;3960
Grupo Éxito;809765231.0;FV 60356;Guatemala;punto de venta;Transferencia Electronica;Kit de cocina TrailChef;Viviana Cano;2022-05-05;37150;8;0.0;4644
La Anónima;897564399.0;FV 59335;Honduras;Redes Sociales;Transferencia Electronica;Guayos Nike Cr-7;Lidia Bueno;2022-03-29;39150;10;0.0;3915
Super 99;899087237.0;FV 106012;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-84;Viviana Cano;2009-01-28;156764;15;0.0;10451
La Anónima;897564399.0;FV 106194;Ecuador;Punto de Venta;Transferencia Electronica;Husky Cuerda 200;Viviana Cano;2009-03-03;85829;8;0.0;10729
Jumbo;901345871.0;FV 130595;Peru;Telefono;Tarjeta de Credito;Pantaloneta;Hernando Portilla;2017-04-07;25239;5;0.0;5048
Makro;902765200.0;FV 135732;Peru;Punto de Venta;Efectivo;Guayos Nike Cr-71;Lidia Bueno;2018-04-11;51616;6;10.0;8603
Hipermaxi;899453679.0;FV 46600;Guatemala;Punto de Venta;Efectivo;Mochila Canyon Mula Weekender;Guillermo Benavides;2024-12-20;130000;10;0.0;13000
Automercados Plaza's;891009100.0;FV 106310;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-108;Hernando Portilla;2009-03-24;12712;1;8.9;12712
Gessa;901324700.0;FV 41189;Panama;Redes Sociales;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Lidia Bueno;2024-02-02;70350;6;0.0;11725
Makro;902765200.0;FV 119225;Colombia;Telefono;Cheque;Guayos Nike Cr-118;Hernando Portilla;2014-05-09;167260;15;9.1;11151
Carrefour;900348761.0;FV 122623;Peru;Telefono;Efectivo;Guayos Nike Cr-58;Viviana Cano;2015-06-13;22257;2;9.1;11128
Bodega Aurrerá;890457811.0;FV 53546;Ecuador;APP;Transferencia Electronica;Kit de cocina TrailChef;Lidia Bueno;2021-06-13;33650;10;10.8;3365
Supermercados Peruanos;896789012.0;FV 117313;Peru;Punto de Venta;Transferencia Electronica;Alivio de mordedura de insectos;Viviana Cano;2013-10-02;3080;1;7.4;3080
;890342123.0;FV 49366;Nicaragua;Redes Sociales;Transferencia Electronica;Mountain Man Extreme;Viviana Cano;2021-03-02;44450;8;0.0;5556
Tiendas Olímpica;901765437.0;FV 51078;Colombia;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Viviana Cano;2021-04-15;27900;8;0.0;3488
Tiendas San Francisco;897345600.0;FV 148418;Honduras;Telefono;Tarjeta de Credito;Guayos Nike Cr-72;Viviana Cano;2020-11-10;127673;14;0.0;9120
Super Selectos;901457120.0;FV 101697;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-80;Viviana Cano;2006-04-28;147076;15;0.0;9805
Supermercados Peruanos;896789012.0;FV 47906;Peru;Teléfono;Cheque;Lámpara EverGlow;Bernardo Cifuentes;2021-01-24;13300;2;0.0;6650
Automercados Plaza's;891009100.0;FV 61315;Nicaragua;Redes Sociales;Transferencia Electronica;Bolsa de golf Course Pro;Viviana Cano;2022-06-07;22900;6;0.0;3817
Super 99;899087237.0;FV 115826;Colombia;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-23;Viviana Cano;2013-04-13;140367;10;0.0;14037
Hipermaxi;899453679.0;FV 45482;Panama;Teléfono;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Viviana Cano;2024-10-10;55000;1;6.0;55000
Walmart;890342123.0;FV 58548;Panama;Redes Sociales;Transferencia Electronica;Loción BugShield;Guillermo Benavides;2022-03-03;43000;16;0.0;2688
Super 99;899087237.0;FV 147063; Peru;Telefono;Cheque;Guayos Nike Cr-74;Viviana Cano;2020-08-02;77576;6;7.2;12929
Carrefour;900348761.0;FV 69539;Colombia;APP;Tarjeta de Credito;Arnés Extremo Husky;Viviana Cano;2023-05-28;55000;6;0.0;9167
Hipermaxi;899453679.0;FV 59952;Ecuador;Redes Sociales;Tarjeta de Credito;Alivio de mordedura de insectos;Hernando Portilla;2022-04-21;55000;13;0.0;4231
Super Selectos;901457120.0;FV 115110;Peru;Telefono;Efectivo;Guayos Nike Cr-92;Bernardo Cifuentes;2013-01-17;51478;5;0.0;10296
Unimarc;900434592.0;FV 111409;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-83;Viviana Cano;2011-10-11;44207;5;0.0;8841
Gessa;901324700.0;FV 70386;Peru;Punto de Venta;Efectivo;Termo de Bicicleta;Patricia Angarita;2023-06-20;96400;13;0.0;7415
Supermercados Peruanos;896789012.0;FV 135501;Honduras;Punto de Venta;Tarjeta de Credito;Sudadera Puma;Viviana Cano;2018-03-27;151130;13;0.0;11625
Supermercados Peruanos;896789012.0;FV 53510;Guatemala;Redes Sociales;Cheque;Casco de escalada de granito;Viviana Cano;2021-06-13;19200;13;5.2;1477
Cencosud;901776453.0;FV 62802;Colombia;Redes Sociales;Transferencia Electronica;Pantaloneta;Viviana Cano;2022-08-12;31100;6;9.9;5183
Soriana;901345679.0;FV 48342;Ecuador;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Bernardo Cifuentes;2021-02-04;22300;8;0.0;2788
Hipermaxi;899453679.0;FV 133162;Colombia;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-83;Lidia Bueno;2017-10-05;57200;6;9.8;9533
Hipermaxi;899453679.0;FV 145279;Nicaragua;Telefono;Tarjeta de Credito;Guayos Nike Cr-21;Guillermo Benavides;2020-03-30;40700;4;0.0;10175
Ara;901001382.0;FV 61311;Mexico;Redes Sociales;Transferencia Electronica;Mountain Man Extreme;Viviana Cano;2022-06-07;42300;16;0.0;2644
Makro;902765200.0;FV 111102; Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-111;Hernando Portilla;2011-08-15;20676;2;0.0;10338
Automercados Plaza's;891009100.0;FV 128392;Honduras;Punto de Venta;Cheque;Guayos Nike Cr-60;Hernando Portilla;2016-10-30;49999;13;19.7;3846
Automercados Plaza's;891009100.0;FV 134686;Mexico;Punto de Venta;Cheque;Guayos Nike Cr-34;Guillermo Benavides;2018-01-28;89288;8;0.0;11161
Carrefour;900348761.0;FV 126420;Peru;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-30;Viviana Cano;2016-06-06;31168;3;15.5;10389
Tiendas San Francisco;897345600.0;FV 123739;Peru;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-34;Hernando Portilla;2015-10-25;35007;5;0.0;7001
Walmart;890342123.0;FV 54403;nicaragua;Redes Sociales;Transferencia Electronica;Sudadera Puma;Bernardo Cifuentes;2021-10-08;55000;6;12.8;9167
Grupo Éxito;809765231.0;FV 103458;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-55;Viviana Cano;2007-09-08;60090;7;0.0;8584
Soriana;901345679.0;FV 120835;Colombia;Punto de Venta;Efectivo;Guayos Nike Cr-107;Viviana Cano;2014-11-18;7544;2;0.0;3772
Super Selectos;901457120.0;FV 104938;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-19;Viviana Cano;2008-07-20;25239;3;7.2;8413
Super Selectos;901457120.0;FV 134045;Honduras ;Punto de Venta;Transferencia Electronica;Pantaloneta;Viviana Cano;2017-12-09;23963;2;0.0;11982
Walmart;890342123.0;FV 52203;Guatemala;Redes Sociales;Tarjeta de Credito;Alivio de mordedura de insectos;Lidia Bueno;2021-05-12;55000;8;0.0;6875
Gessa;901324700.0;FV 140020;Panama;Punto de Venta;Efectivo;Alivio de mordedura de insectos;Bernardo Cifuentes;2019-03-03;12494;5;0.0;2499
Grupo Éxito;809765231.0;FV 131980;Ecuador;Telefono;Cheque;Guantes de Arquero Nike;Hernando Portilla;2017-07-15;23640;6;19.2;3940
Walmart;890342123.0;FV 111254;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-64;Viviana Cano;2011-09-15;96837;12;0.0;8070
Walmart;890342123.0;FV 130065;Honduras;Punto de Venta;Cheque;Guayos Nike Cr-122;Hernando Portilla;2017-03-02;38304;9;0.0;4256
Carrefour;900348761.0;FV 122338;Peru;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-54;Viviana Cano;2015-05-13;55441;13;0.0;4265
Super Selectos;901457120.0;FV 125939;Nicaragua;Telefono;Tarjeta de Credito;Guayos Nike Cr-102;Hernando Portilla;2016-04-27;54660;4;11.5;13665
Super 99;899087237.0;FV 114216;Ecuador;Telefono;Efectivo;Guayos Nike Cr-53;Bernardo Cifuentes;2012-10-02;8739;4;8.7;2185
